date;city;temp_c;humidity_pct;pressure_hpa;wind_kmh;cloud_pct;precip_mm
2025-01-01;Moscow;-13.0;78.7;1015.5;10.8;61.1;0
2025-01-02;Moscow;-13.1;80.4;1016.9;17.7;74.2;0.0
2025-01-03;Moscow;-12.2;81.2;1021.2;13.2;63.3;0.0
2025-01-04;Moscow;-13.2;82.6;1019.4;12.0;71.7;0.0
2025-01-05;Moscow;-11.7;83.0;1009.8;2.5;57.3;0
2025-01-06;Moscow;-13.7;70.8;1010.5;2.5;45.7;1.1
2025-01-07;Moscow;-10.1;83.3;1017.3;15.6;73.9;0.0
2025-01-08;Moscow;-13.2;82.5;1014.8;22.3;53.7;0
2025-01-09;Moscow;-12.1;75.8;1007.0;16.3;48.5;0.0
2025-01-10;Moscow;-14.3;80.0;1013.0;16.4;66.6;6.3
2025-01-11;Moscow;-5.9;83.0;1013.3;10.8;53.9;0.0
2025-01-12;Moscow;-11.8;83.7;1012.9;11.8;39.3;0
2025-01-13;Moscow;-9.8;99.6;1014.0;12.9;86.6;0.0
2025-01-14;Moscow;-11.0;77.2;1016.4;0;95.6;0.0
2025-01-15;Moscow;-10.9;78.3;1014.6;2.0;51.1;0.0
2025-01-16;Moscow;-11.5;72.9;1017.4;15.8;49.5;0.0
2025-01-17;Moscow;-12.5;78.8;1022.6;3.8;56.6;0.0
2025-01-18;Moscow;-7.4;79.3;1010.7;8.9;45.3;3.6
2025-01-19;Moscow;-10.2;89.8;1012.1;14.7;60.6;11.0
2025-01-20;Moscow;-14.7;84.5;1017.9;19.1;78.3;0.0
2025-01-21;Moscow;-13.4;79.7;1014.8;16.1;54.6;0.0
2025-01-22;Moscow;-9.3;80.0;1018.8;13.8;63.3;2.0
2025-01-23;Moscow;-10.1;79.2;1019.1;5.5;57.6;9.1
2025-01-24;Moscow;-8.3;79.9;1024.1;9.0;59.5;2.6
2025-01-25;Moscow;-11.1;87.6;1022.4;8.9;62.7;0.0
2025-01-26;Moscow;-9.0;80.5;1011.6;14.8;40.7;0.0
2025-01-27;Moscow;-8.4;82.9;1017.7;8.8;91.6;5.6
2025-01-28;Moscow;-6.5;73.5;1016.9;8.0;92.8;0.0
2025-01-29;Moscow;-6.8;71.9;1029.8;12.8;77.9;0.0
2025-01-30;Moscow;-14.3;79.7;1013.3;5.2;64.7;7.6
2025-01-31;Moscow;-7.6;82.2;1015.0;13.9;49.6;16.7
2025-02-01;Moscow;-10.4;68.4;1013.0;9.9;65.1;0.0
2025-02-02;Moscow;-10.8;73.7;1015.2;6.6;43.6;0.0
2025-02-03;Moscow;-9.3;85.5;1023.6;15.2;73.0;0.0
2025-02-04;Moscow;-7.5;80.0;1017.4;11.1;46.7;0.9
2025-02-05;Moscow;-10.0;73.2;1017.5;6.9;56.2;0.0
2025-02-06;Moscow;-8.9;74.4;1012.0;5.3;82.4;0
2025-02-07;Moscow;-4.6;79.0;1014.9;8.7;74.6;0.0
2025-02-08;Moscow;-4.9;72.5;1019.1;14.3;52.1;0.0
2025-02-09;Moscow;-9.7;75.9;1014.5;9.4;49.2;0.0
2025-02-10;Moscow;-5.4;78.4;1018.8;11.2;59.9;0.0
2025-02-11;Moscow;-2.6;73.0;1012.5;0;60.7;0.0
2025-02-12;Moscow;-3.5;79.4;1014.7;8.3;66.3;0
2025-02-13;Moscow;-5.6;68.2;1014.2;8.2;82.2;0.0
2025-02-14;Moscow;-2.8;64.7;1012.6;6.0;47.6;0.0
2025-02-15;Moscow;-6.9;87.5;1016.9;5.4;78.3;2.4
2025-02-16;Moscow;-1.2;81.7;1017.7;10.3;59.0;0.0
2025-02-17;Moscow;-5.4;86.1;1013.5;13.7;66.6;0.0
2025-02-18;Moscow;-0.1;70.5;1019.3;2.5;53.6;0.0
2025-02-19;Moscow;0.5;83.2;1008.8;14.3;93.8;1.6
2025-02-20;Moscow;0.6;75.0;1015.3;9.2;72.5;0.0
2025-02-21;Moscow;-1.4;73.6;1011.8;4.9;77.4;0.0
2025-02-22;Moscow;-3.4;86.4;1021.4;17.4;100;7.3
2025-02-23;Moscow;-1.1;73.6;1010.9;4.2;47.8;0.0
2025-02-24;Moscow;-4.2;72.0;1014.2;7.8;74.3;0.0
2025-02-25;Moscow;-3.6;73.6;1008.3;7.0;63.2;0.0
